filename,timestamp,latitude,longitude,speed_mph
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.8571,-117.1837,67
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.8583,-117.1845,68
2026_0418_124924_000107F.MP4,2026-04-18 12:49,,-117.1852,1
2026_0418_124924_000107F.MP4,2026-04-18 12:49,,,74
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.862,,75
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.8632,,74
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.8643,,73
2026_0418_124924_000107F.MP4,2026-04-18 12:49,32.8655,-117.1906,72
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8666,-117.1917,72
2026_0418_124924_000107F.MP4,2026-04-18 12:50,,,70
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8688,,69
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8699,,67
2026_0418_124924_000107F.MP4,2026-04-18 12:50,,-117.1958,68
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8719,-117.1967,69
2026_0418_124924_000107F.MP4,,32.8732,-117.1979,1
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8742,,68
2026_0418_124924_000107F.MP4,,32.8757,-117.1994,67
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8767,-117.1998,64
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8782,-117.2003,61
2026_0418_124924_000107F.MP4,2026-04-18 12:50,32.8791,-117.2005,58
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8805,-117.201,61
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8815,-117.2012,60
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8829,,60
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8839,-117.2019,62
2026_0418_124924_000107F.MP4,,32.8853,-117.2024,61
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8863,,61
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8876,,61
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8885,-117.2039,62
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8898,-117.2049,61
2026_0418_124924_000107F.MP4,2026-04-18 12:51,,,67
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8915,-117.2073,1
2026_0418_124924_000107F.MP4,2026-04-18 12:51,32.8921,-117.2085,73
2026_0418_124924_000107F.MP4,2026-04-18 12:52,32.8929,-117.2105,76
2026_0418_124924_000107F.MP4,2026-04-18 12:52,32.8934,,77
2026_0418_124924_000107F.MP4,2026-04-18 12:52,32.8945,,77
2026_0418_124924_000107F.MP4,2026-04-18 12:52,32.8952,-117.2148,77
